OBJECTID,ZIP,LBW,Preterm,TeenBirth,Birth_Rate,F1stTriCare,Shape__Area,Shape__Length
1,60002,0.084836847,0.134124037,18.5,10.440238634,74.6397000668,1149062138.05115,215525.155184308
2,60010,0.052208093,0.080827506,1.4,3.21956051873,86.1899458807,802735362.80188,178637.109618217
3,60015,0.095519241,0.101959104,1.8,7.63526102364,83.5441319354,367457579.630371,111400.890557549
4,60020,0.077066559,0.087777121,29.9,13.7370681241,79.0753980814,166617676.169922,92363.0846254123
5,60030,0.071310876,0.0866745,6.2,10.5981456664,81.7453156245,845517890.633911,247258.224672059
6,60031,0.081407401,0.098994319,10.1,10.2650316456,78.3721311589,527117600.520508,163995.181561449
7,60035,0.067941479,0.08888844,3.6,8.16100814425,84.8218499815,345792947.35376,115796.723819492
8,60040,0.081060193,0.116596957,21.7,14.2592592593,81.8013786598,17809434.3378906,25907.3724671979
9,60042,0.057217236,0.103992211,5.2,5.14258999532,74.7627886215,45177572.980957,45385.395225679
10,60044,0.045740741,0.077592593,4.8,8.49426830528,84.4214975845,212777737.947998,92539.7087308114
11,60045,0.048820455,0.076689063,0.3,4.88643010333,84.5721984482,621475385.131836,161457.245301149
12,60046,0.068125776,0.085629527,9.1,10.1838836455,80.9231835829,730424359.515137,207743.912573777
13,60047,0.071366323,0.098070154,3.5,7.82785817484,84.3449779979,919381804.827759,176981.85941999
14,60048,0.047031619,0.07770726,1.6,6.85527933342,83.4849534992,819008275.917114,196071.573674247
15,60060,0.073593986,0.09625956,20.6,13.3673281155,78.0878374855,617591322.949341,180171.962435836
16,60061,0.092853168,0.11023024,8.1,10.8246634027,82.1289832784,257421150.568848,102713.138127104
17,60064,0.080330389,0.085871161,48.3,15.4579192351,59.121392114,139901116.547363,90452.8955856687
18,60069,0.057700705,0.08199738,4.3,5.30056619684,82.8997935818,170066928.72876,146555.427438204
19,60073,0.064898476,0.092917361,42.9,17.0247662785,74.7932885653,519658694.928833,209118.936757732
20,60083,0.08544719,0.1151015,14.7,9.43941437103,80.7266074908,728237916.581543,164753.217611995
21,60084,0.064687978,0.101781864,24.3,13.9125228462,79.6981118343,505163484.499878,159182.367882794
22,60085,0.081798519,0.085460101,52.5,18.0806333671,64.3815698788,391907383.858643,137038.947753735
23,60087,0.077744483,0.089881576,52.7,14.8631227724,67.7124268478,389880041.849121,163122.611792888
24,60089,0.076835914,0.099674315,0.8,5.16424586379,84.3906342803,227772422.15625,164174.744391854
25,60096,0.090144231,0.063301282,13.6,7.74240231548,70.1910012542,141373658.447266,62444.4716610878
26,60099,0.091061703,0.082217341,35.1,13.4864583662,61.0091910764,626264179.764893,188925.390246079
27,60041,0.04496564,0.109025661,12.3,11.9872905835,72.7362039832,391955019.530884,152724.616882906
